comment_text,category
"This animation is absolutely stunning! Great job.",Praise
"I love the colors you used, truly a masterpiece.",Praise
"Amazing work, looking forward to more.",Praise
"The best video I have seen all week!",Praise
"Incredible effort, hats off to the team.",Praise
"You guys are killing it! So professional.",Praise
"Wow, just wow. Speechless.",Praise
"The sound design is top notch.",Praise
"I really enjoyed this, thank you for posting.",Praise
"Superb editing skills.",Praise
"This is exactly what I was looking for, thanks!",Praise
"Brilliant execution, 10/10.",Praise
"I've watched this three times already, so good.",Praise
"You are so talented!",Praise
"This deserves more views.",Praise
"High quality content as always.",Praise
"Simply beautiful.",Praise
"Masterclass in editing.",Praise
"I'm blown away by the quality.",Praise
"Keep doing what you do, it's perfect.",Praise
"Keep going, you're doing great!",Support
"Don't give up, we believe in you.",Support
"Every expert was once a beginner. Keep at it.",Support
"Sending you lots of love and support.",Support
"You got this! Ignore the haters.",Support
"Stay strong, your content is improving.",Support
"I'm here for the journey, keep grinding.",Support
"Proud of how far you've come.",Support
"We are rooting for you!",Support
"Take your time, we'll wait. Mental health first.",Support
"Believe in yourself, we do.",Support
"Ignore the negativity, you're doing fine.",Support
"Just keep swimming!",Support
"Your growth is inspiring.",Support
"We got your back.",Support
"Don't let them get you down.",Support
"You are stronger than you think.",Support
"Keep pushing, success is near.",Support
"Love your energy, keep it up.",Support
"Focus on the positive!",Support
"The animation was okay but the voiceover felt off.",Constructive Criticism
"I liked the concept, but the pacing was a bit too slow.",Constructive Criticism
"Good effort, but maybe try using a different font next time?",Constructive Criticism
"The audio levels are inconsistent, you might want to normalize them.",Constructive Criticism
"It would be better if you added subtitles for accessibility.",Constructive Criticism
"The lighting is a bit dark in the second scene.",Constructive Criticism
"Great start, but the ending felt abrupt.",Constructive Criticism
"Try to stabilize the camera more in future shots.",Constructive Criticism
"The music overpowers the dialogue, maybe lower the background track?",Constructive Criticism
"The tutorial was helpful but you spoke a bit too fast.",Constructive Criticism
"The text is hard to read against that background.",Constructive Criticism
"I think the video is too long, maybe cut it down to 10 mins?",Constructive Criticism
"The intro was too loud compared to the rest.",Constructive Criticism
"Nice video, but the resolution seems low.",Constructive Criticism
